time,f0,confidence,loudness
80.87,699.6997541984774,0.9512449,-11.497892519839871
80.88,699.9531869801568,0.9530755,-11.476182035632103
80.89,699.79474684399,0.95223993,-11.503569481390132
80.9,698.7083082874874,0.9500189,-11.50860062292349
80.91,698.0623241543949,0.9493915,-11.560779513028917
80.92,697.7206103160943,0.9510623,-11.625380859584924
80.93,697.2847089732816,0.9532645,-11.676175657324528
80.94,697.1070977771958,0.94894135,-11.72199420419139
80.95,696.8960239788344,0.9284327,-11.865942156963177
80.96,697.2973924908989,0.87772757,-11.970982661286358
80.97,697.6562580273668,0.8610516,-12.143713852060857
80.98,700.1886215085767,0.7865654,-12.276433461541119
80.99,702.6560427663475,0.6311433,-12.364200305007433
81.0,707.1485966251939,0.25673622,-12.38838927215105
81.01,669.0690539295852,0.029471546,-12.441135493883126
81.02,633.782114776312,0.046252757,-12.452051720109509
81.03,633.9897842150967,0.05586815,-12.445556817740783
81.04,636.2257432361328,0.10688904,-12.45845557529301
81.05,652.8627680883175,0.13057137,-12.46397761744973
81.06,657.7613864513625,0.10945091,-12.413128886254675
81.07,623.3294463001014,0.08801809,-12.428487935330663
81.08,626.1467974753235,0.10338727,-12.420980043911934
81.09,634.7449732909656,0.09557113,-12.43100226414189
81.1,651.3838114265902,0.12668893,-12.411455417801548
81.11,658.9594748136859,0.09073064,-12.415196695577661
81.12,661.0181406383638,0.07595089,-12.438576357069392
81.13,662.5763225060045,0.07891825,-12.456600215466866
81.14,661.6036344657954,0.05312583,-12.435848599326173
81.15,664.978425404223,0.01767382,-12.43298823455761
81.16,661.4170842410399,0.03699231,-12.428584680603626
81.17,657.9877751716112,0.103150785,-12.427622102036562
81.18,661.7078538821302,0.09162909,-12.481663613293083
81.19,665.3229145372655,0.103538394,-12.442121029571643
81.2,670.8763906329359,0.25296834,-12.462234433863076
81.21,667.3551798575259,0.21306989,-12.283056397862405
81.22,665.7457993823286,0.46077323,-11.754305748433456
81.23,661.7191907633975,0.29610616,-11.624154388366257
81.24,654.9791063649503,0.5644615,-11.91940012332419
81.25,655.4642126848499,0.63029444,-11.921001050009814
81.26,658.9385001686223,0.74787474,-11.6976794060002
81.27,661.9356043241587,0.8061038,-11.783980206428359
81.28,663.0609630695038,0.6738028,-11.72885552618838
81.29,662.0015565481549,0.6602181,-11.633607262893639
81.3,662.1930036978553,0.7493504,-11.4952772568312
81.31,662.0801893534325,0.80795234,-11.399657331925921
81.32,661.3695414018594,0.87540585,-11.398744663657066
81.33,660.4978333850692,0.93622124,-11.437178782547246
81.34,658.8223438631776,0.94684535,-11.534773035426547
81.35,658.2702548495822,0.9482447,-11.552195744764369
81.36,658.3042725923215,0.9468949,-11.62700649240671
81.37,658.2626224198673,0.9412798,-11.671715648943913
81.38,657.5553183119661,0.95293796,-11.72697119666585
81.39,656.9544211216087,0.95690435,-11.805220053285941
81.4,656.4818419514272,0.95211345,-11.865690373417662
81.41,656.578586433963,0.9457073,-11.987212899548105
81.42,656.1938342354911,0.9401183,-12.08611715947622
81.43,653.6083898779907,0.9216667,-12.18048518144779
81.44,653.8722099564764,0.8739581,-12.249752411372631
81.45,653.2233810783682,0.72074246,-12.3157922939584
81.46,647.9080458706118,0.30657825,-12.400365185536844
81.47,660.1474907789197,0.10677427,-12.419297353032013
81.48,658.683451964809,0.04335463,-12.425275545355603
81.49,657.5080947111013,0.053680718,-12.437933063364465
81.5,661.1380108325418,0.08248788,-12.433827089335715
81.51,626.2938425819224,0.12866428,-12.419916463831429
81.52,634.940138183191,0.07975224,-12.440198409589179
81.53,642.1900164108071,0.09999925,-12.487598847673288
81.54,635.8580904864,0.05224076,-12.448156098391806
81.55,649.3625204946903,0.06594789,-12.459469426844032
81.56,669.2342670654456,0.083750546,-12.445207499988049
81.57,691.2240079011788,0.094261795,-12.465396143302538
81.58,642.4725277731624,0.057210326,-12.442789848246079
81.59,642.9171207808072,0.032535464,-12.452230907103491
81.6,642.7571784527662,0.12797847,-12.470426336238878
81.61,644.5210806946171,0.03754437,-12.457239445174466
81.62,654.5858901981558,0.05518365,-12.468784289820746
81.63,659.8500018721962,0.0904775,-12.42463940286331
